plant,treatment,length,avgDiam,rootVolume,FRL,CRL,FRS,CRS,FVOL,weight
1,Control,4779.2252,0.32255,4.06,4751.9709,26.4192,408.5734,35.8163,4.2822,3.7838
1,PH462,6297.6545,0.3839,7.291,6268.4288,27.6743,646.5831,32.6249,8.5598,6.1835
1,PH480,3388.9135,0.4355,5.048,3360.5239,27.3543,380.1616,33.2083,5.5482,3.3352
1,PH487,5173.5298999999995,0.5421499999999999,12.036,5084.0259,88.4845,725.0016,87.3647,12.2304,7.3686
1,PH494,5361.6168,0.6335,17.401,5264.8156,95.9822,879.6056,102.4554,16.586199999999998,8.4208
1,PH504,2952.7377,0.4078,3.856,2909.9272,42.2531,295.3875,49.4006,3.758,2.8059
1,PH505,3238.9124,0.42675,4.679,3207.8271999999997,30.419,365.599,31.232100000000003,5.0659,3.3599
1,PH518,5008.1709,0.58185,13.387,4906.2762,100.9312,731.3081999999999,103.6484,12.7754,7.8626
1,PH521,4602.7593,0.44455,7.176,4566.0614000000005,36.0476,551.4594,41.2623,7.6892,4.1792
1,PH531,2808.6601,0.408,3.672,2778.9636,28.9332,287.8951,39.5444,3.5747,3.2522
1,PH537,4311.8003,0.34475,4.126,4290.9902,19.693800000000003,401.461,25.3474,4.8304,4.0806
1,PH541,3522.7427,0.4687,6.937,3485.5458,36.7576,463.6346,44.7391,7.0280000000000005,2.6491
2,Control,8542.5201,0.31,6.5,8515.3924,25.237,727.9648,31.5252,7.5044,6.7265
2,PH462,5862.2108,0.4224,8.213,5791.7267,68.2781,604.2075,84.8891,8.4334,5.7423
2,PH480,3280.0765,0.4132,4.398,3248.276,30.6782,348.464,32.2132,5.2095,2.6278
2,PH487,3417.0089,0.4848,6.307,3375.7024,40.2875,406.1399,60.4104,5.813,2.9631
2,PH494,4089.4516,0.48055,7.475,4040.0983,48.7574,513.8071,56.090599999999995,7.927300000000001,4.0775
2,PH504,4409.948,0.3171,3.483,4388.2119,20.1287,372.3861,21.2245,3.8678,3.3057
2,PH505,3762.4555,0.3648,3.967,3741.1583,20.6848,362.6329,28.1973,4.3139,3.5703
2,PH518,6768.6049,0.4864,12.576,6691.8781,75.3844,867.8936,73.7512,13.1658,7.8763
2,PH521,4494.0666,0.5002,8.847999999999999,4432.7932,60.60510000000001,591.5203,62.8931,8.7921,3.9347
2,PH531,2970.6665,0.3994,3.722,2936.8405,33.1267,300.4,41.8448,3.7837,3.2907
2,PH537,4055.7901,0.39765,5.068,4028.7436,26.2627,429.9935,31.9901,5.583,4.2882
2,PH541,6633.3712,0.55065,15.923000000000002,6554.9888,77.39789999999999,985.4151,76.59700000000001,17.0042,9.7815
3,Control,8219.8958,0.30325,6.009,8193.0501,25.238,684.4646,26.5626,6.6684,5.5026
3,PH462,4309.5602,0.5405,9.889,4259.0595,50.0929,606.1561,59.4445,9.7943,3.2133
3,PH480,2844.7288,0.4958,5.491,2803.2735,41.0345,360.5719,42.4825,5.93,3.3286
3,PH487,2942.3894,0.42,4.076,2903.3559,38.6138,310.4267,37.7211,4.2545,3.0246
3,PH494,2839.9483,0.5122,5.853,2824.0785,15.6455,403.4034,17.1682,6.3884,1.6977
3,PH504,2784.4266,0.3822,3.195,2771.2448,12.8021,287.9764,15.5354,3.5411,2.5876
3,PH505,3750.9152,0.3464,3.534,3729.8374,20.2449,337.6008,26.2313,3.9438,3.4381
3,PH518,4331.4441,0.34515,3.838,4309.4478,20.956200000000003,385.807,26.8161,4.2039,2.0728
3,PH521,7508.6487,0.3936,9.132,7471.0854,36.0041,803.6702,42.331199999999995,9.5928,6.4135
3,PH531,4335.1829,0.3334,3.784,4311.334,23.1141,383.1284,26.7307,4.1632,4.0618
3,PH537,3657.1927,0.3544,3.608,3615.6965,40.697,321.7385,47.0993,3.6658,3.2795
3,PH541,5087.5037,0.49155,9.641,5058.4992,28.4868,691.1367,39.1663,10.4084,3.7134
4,Control,6110.3362,0.34515,5.667999999999999,6084.557,24.7722,570.2011,32.6109,6.4365000000000006,5.7149
4,PH462,6034.6008,0.3621,6.213,5997.8321,35.1689,565.9543,43.2586,6.6661,5.2345
4,PH480,3146.6491,0.4282,4.532,3107.1181,38.1962,336.7472,41.888,4.8311,3.3828
4,PH487,4040.0954,0.4287,5.83,3998.8631,40.1417,442.5017,49.0062,6.0418,2.3785
4,PH494,3555.9572,0.5484,8.4,3507.2842,48.0726,510.0861,50.8747,8.142,4.3171
4,PH504,3678.266,0.3571,3.684,3657.6806,19.394,340.6859,27.647,3.8497,3.2267
4,PH505,4956.5839,0.34395,4.609,4915.2913,40.0633,421.7043,52.7289,4.8903,4.1753
4,PH518,6615.466399999999,0.3663,7.01,6589.919,23.9998,668.6056000000001,27.2067,8.387799999999999,4.5897
4,PH521,7509.3851,0.3915,8.769,7477.4531,30.4114,788.5803,44.668099999999995,9.1358,7.2818
4,PH531,3503.1425,0.3241,2.891,3488.9073,13.626,305.3557,20.4902,3.0912,2.8121
4,PH537,6610.0975,0.3416,5.703,6592.556699999999,16.1079,595.8369,20.8678,6.7449,5.0363
4,PH541,6101.737999999999,0.46275,10.289,6047.4842,53.2799,755.774,55.09009999999999,11.0516,4.2675
5,Control,7142.884599999999,0.2868,4.609,7111.3794,30.3913,548.5878,33.3401,5.442,4.8247
5,PH462,3516.5016,0.5219,7.523,3458.6674,57.1711,459.3845,64.9012,7.6102,3.9759
5,PH480,3587.3287,0.509,7.3,3522.4208,64.2783,445.831,71.9757,7.2251,4.4236
5,PH487,4081.9958,0.5299,9.272,4026.9927,54.2377,573.7107,55.7273,10.1275,6.8271
5,PH494,3932.0228,0.5231,8.449,3895.0207,36.4769,555.4485,36.8829,8.8373,6.8416
5,PH504,2264.4943,0.3833,2.613,2249.208,14.9385,231.9176,16.9448,2.9806,1.8157
5,PH505,3862.9488,0.3359,3.4160000000000004,3847.4172,15.003,348.71590000000003,20.4281,4.1422,3.4428
5,PH518,2927.9382,0.3508,2.83,2914.8164,12.6819,274.1448,17.3337,3.1122,1.9944
5,PH521,2892.5711,0.545,6.749,2848.0012,44.1681,409.8549,44.2548,7.4275,5.5098
5,PH531,2009.469,0.3432,1.859,1998.1712,10.7968,184.9307,12.0541,2.1011,1.4985
5,PH537,3433.5559,0.4035,4.39,3404.2245,28.6297,363.8948,28.7918,5.057,2.7637
5,PH541,5827.677,0.33899999999999997,5.259,5804.0414,22.3775,536.5509999999999,28.122100000000003,6.0762,3.3445
6,Control,8003.936299999999,0.3094,5.912000000000001,7978.584000000001,24.1896,670.325,31.9343,6.5839,5.6005
6,PH462,3469.1504,0.5283,7.605,3424.3292,44.0493,482.4233,43.8709,8.2578,5.6272
6,PH480,2862.3169,0.4274,4.106,2831.6465,30.1218,307.9936,37.2237,4.1513,2.6792
6,PH487,3663.0954,0.438,5.52,3632.9453,29.5463,413.0719,40.1399,5.9196,3.5484
6,PH494,2524.6768,0.5052,5.061,2486.3209,38.1783,325.4546,42.8731,5.2212,3.1773
6,PH504,4649.6179,0.3732,5.087,4611.1918,36.8344,444.7969,41.145,5.6091,4.7913
6,PH505,4707.4244,0.41105,5.574,4667.1029,39.2958,449.7189,51.134,5.5783000000000005,4.3873
6,PH518,6043.3377,0.32855,5.16,6011.8412,30.7774,533.9469,35.8287,5.8035,3.8903
6,PH521,2832.409,0.6586,9.648,2764.573,67.147,465.3194,77.3787,8.9757,7.0413
6,PH531,4270.0908,0.3084,3.189,4250.3543,18.6828,341.0051,26.5795,3.3095,3.0647
6,PH537,4607.8445,0.39535,5.647,4575.998100000001,30.9599,483.84580000000005,35.2538,6.4058,4.5099
6,PH541,8312.0476,0.3913,9.933,8286.7593,23.7297,893.9832,30.9299,11.0001,5.1852
7,Control,9129.6079,0.2652,5.142,9106.215,21.3829,656.0554999999999,36.9631,5.2071000000000005,4.498
7,PH462,3525.824,0.5624,8.76,3483.0811,42.1253,516.092,48.7052,8.6993,4.5491
7,PH480,3685.1086,0.5087,7.491,3617.209,66.816,452.1058,77.4112,7.5101,4.2609
7,PH487,2840.423,0.4353,4.228,2798.4376,41.2035,302.4908,48.2812,4.3418,2.451
7,PH494,4616.4949,0.5918000000000001,12.954,4515.650900000001,100.0621,690.7455,103.809,12.689,9.0784
7,PH504,5084.5469,0.3519,4.945,5061.1337,22.5629,476.5639,30.353,5.8238,4.6173
7,PH505,4649.9793,0.3661,4.901999999999999,4630.055899999999,19.346,464.9361,25.9641,5.343,4.1504
7,PH518,3132.5335,0.4109,4.155,3104.8203,26.9427,337.6964,27.7341,4.6279,3.2965
7,PH521,6913.0997,0.46485,11.646999999999998,6878.5543,33.2941,890.5971,33.9207,12.0501,8.7625
7,PH531,3911.0782,0.3834,4.516,3888.4191,21.8012,396.6537,26.9678,4.8825,4.3847
7,PH537,6559.6507,0.3408,6.069,6522.5164,35.7076,604.342,38.7693,6.3929,5.5548
7,PH541,5895.0178,0.34850000000000003,5.798,5870.473400000001,23.8332,561.9641,34.5632,6.147,4.0611
